business_id,review_count,log_review_count,stars,rating_std,positive_ratio,negative_ratio,photo_count,log_photo_count,business_age_years,review_growth_rate,expert_reviewer_ratio,elite_reviewer_ratio,high_influence_ratio,mean_influence_score,cluster_ambiance,is_open
-0M0b-XhtFagyLmsBtOe8w,18,2.9444389791664403,3.7222222222222223,0.8947924869885987,0.7222222222222222,0.05555555555555555,1.0,0.6931471805599453,9.947945205479453,0.0,0.5555555555555556,0.0,0.5,2.7950452792552123,2,0
-0PN_KFPtbnLQZEeb23XiA,11,2.4849066497880004,3.3636363636363638,1.3618169680781096,0.5454545454545454,0.18181818181818182,,,12.26849315068493,0.0,0.2727272727272727,0.0,0.18181818181818182,1.469557662008086,0,0
-0TffRSXXIlBYVbb5AwfTg,1132,7.0326242610280065,4.355123674911661,0.9831652283374195,0.8515901060070671,0.06625441696113074,52.0,3.970291913552122,8.64109589041096,0.04151943462897526,0.38074204946996465,0.0,0.18374558303886926,1.4860672272104118,3,1
-0eUa8TsXFFy0FCxHYmrjg,28,3.367295829986474,3.9642857142857144,1.0708993401928106,0.7142857142857143,0.14285714285714285,1.0,0.6931471805599453,6.254794520547946,0.0,0.39285714285714285,0.0,0.10714285714285714,1.3338803277503577,0,0
-1B9pP_CrRBJYPICE5WbRA,851,6.747586526829315,3.808460634547591,1.2057602353756922,0.6968272620446534,0.15041128084606345,7.0,2.0794415416798357,9.512328767123288,0.01410105757931845,0.32784958871915393,0.0,0.16686251468860164,1.406768762185351,3,1
-1b2kNOowsPrPpBOK4lNkQ,22,3.1354942159291497,4.5,1.0118347314702751,0.8181818181818182,0.09090909090909091,5.0,1.791759469228055,4.342465753424658,0.0,0.18181818181818182,0.0,0.13636363636363635,1.0937919385319796,0,0
-2-ih3mE8KPyeKVIzpBfPQ,112,4.727387818712341,3.5535714285714284,1.089170985793065,0.5803571428571429,0.17857142857142858,6.0,1.9459101490553132,5.575342465753424,0.0,0.5714285714285714,0.0,0.4017857142857143,2.338190182526614,9,0
-32hOCwsuKd04WO-HQyYFg,62,4.143134726391533,3.0483870967741935,1.2730165459993656,0.45161290322580644,0.3709677419354839,2.0,1.0986122886681098,14.336986301369864,0.0,0.41935483870967744,0.0,0.25806451612903225,2.0309482673146726,0,0
-3ArWZfDjfab8qVHf3WVtg,5,1.791759469228055,4.0,1.224744871391589,0.8,0.2,,,7.961643835616439,0.0,0.2,0.0,0.2,1.7725816590237256,0,1
-3m_nXlyvdKAVNNmVirpGQ,16,2.833213344056216,3.5,1.673320053068151,0.5,0.3125,1.0,0.6931471805599453,11.035616438356165,0.0,0.25,0.0,0.0625,0.9606217696299686,0,1
-40qQXB8JsneSiDqXMjoeg,14,2.70805020110221,3.857142857142857,1.292412345317728,0.6428571428571429,0.14285714285714285,,,9.983561643835616,0.0,0.42857142857142855,0.0,0.35714285714285715,1.7881365299046788,0,0
-49SvmoGFrpZj5jmT1n4Sg,6,1.9459101490553132,4.0,0.0,1.0,0.0,,,15.616438356164384,0.0,0.8333333333333334,0.0,0.8333333333333334,4.185488047254565,0,0
-4N4YEobjG89VQsEgqZshg,17,2.8903717578961645,4.176470588235294,1.0145993123917847,0.8823529411764706,0.058823529411764705,,,1.2931506849315069,0.0,0.4117647058823529,0.0,0.35294117647058826,1.9783536758814582,0,0
-5Rah4ZvWsDu4oilUZxhtw,363,5.8971538676367405,3.8044077134986227,1.1310691999024465,0.7107438016528925,0.12947658402203857,21.0,3.091042453358316,15.723287671232876,0.013774104683195593,0.5041322314049587,0.0,0.33884297520661155,2.2605493341985747,3,1
-63ytt5vkWof-M9NDGTkng,15,2.772588722239781,2.3333333333333335,1.2344267996967353,0.2,0.4666666666666667,,,6.917808219178082,0.06666666666666667,0.26666666666666666,0.0,0.2,1.4876023681539352,0,1
-6nQZ-QCkAyNHdtaxOxDpQ,82,4.418840607796598,4.024390243902439,1.3875603401947683,0.7439024390243902,0.1951219512195122,1.0,0.6931471805599453,5.471232876712329,0.0,0.23170731707317074,0.0,0.12195121951219512,1.0424311612747863,5,0
-9CvbWc-vPYsoioAgZii4Q,17,2.8903717578961645,3.4705882352941178,1.3284223283101428,0.6470588235294118,0.17647058823529413,,,12.8,0.0,0.23529411764705882,0.0,0.29411764705882354,1.788234812561326,0,0
-ATiAtTikuGuqvaW2O6tNA,604,6.405228458030842,3.4387417218543046,1.2289578454601657,0.5596026490066225,0.21688741721854304,7.0,2.0794415416798357,15.490410958904109,0.028145695364238412,0.43874172185430466,0.0,0.24834437086092714,1.7925926799081566,3,1
-AanHawaDlzWHQjrqRRWig,43,3.784189633918261,2.6511627906976742,1.2888481555661677,0.20930232558139536,0.4186046511627907,3.0,1.3862943611198906,10.93972602739726,0.0,0.5348837209302325,0.0,0.4186046511627907,2.4324097412516497,0,1
-AbzJTLQdbdQrhRzQLgsKA,14,2.70805020110221,3.642857142857143,0.633323693776651,0.7142857142857143,0.07142857142857142,1.0,0.6931471805599453,12.6,0.0,0.35714285714285715,0.0,0.2857142857142857,3.1170908331284126,0,0
-Ah-gbZpa-IiQVIrhKRhhA,83,4.430816798843313,3.1927710843373496,1.1838118601067054,0.46987951807228917,0.26506024096385544,,,9.0,0.0,0.5180722891566265,0.0,0.3855421686746988,2.0536269905263973,9,0
-BLVl824WRLFIm_uiHmkbA,93,4.543294782270004,3.161290322580645,1.279353799016325,0.45161290322580644,0.3548387096774194,,,11.668493150684931,0.0,0.1935483870967742,0.0,0.11827956989247312,1.2909084483654596,9,0
-Bhoyo7LL97tgt9Hze0Saw,16,2.833213344056216,4.625,0.8062257748298548,0.9375,0.0625,,,9.334246575342465,0.0625,0.25,0.0,0.1875,1.4966117699792632,7,1
-CRjqZ4GxZ6lIa_qMj7-yw,60,4.110873864173311,3.283333333333333,1.354110711577543,0.5166666666666667,0.31666666666666665,,,13.654794520547945,0.03333333333333333,0.25,0.0,0.15,1.2739398667035362,0,1
-DGsnMlRrR_tv8avrpQLQw,770,6.647688373563329,3.874025974025974,1.2516727530504508,0.7168831168831169,0.16233766233766234,6.0,1.9459101490553132,15.63013698630137,0.016883116883116882,0.38831168831168833,0.0,0.23636363636363636,1.7586679569953794,3,1
-FMI0_EhMjwXaAgHVGuG2Q,222,5.407171771460119,3.7837837837837838,0.9831651298210418,0.6711711711711712,0.12162162162162163,6.0,1.9459101490553132,10.142465753424657,0.0,0.38288288288288286,0.0,0.2972972972972973,1.9136599893327657,5,0
-HewctWQ0P3HqKCr76bU-g,80,4.394449154672439,3.8625,1.110864072396696,0.7625,0.15,,,13.232876712328768,0.0,0.325,0.0,0.1625,1.5764684063970626,9,1
-HxLFWKVgXSU8JlR21PBkg,10,2.3978952727983707,3.9,1.1972189997378648,0.8,0.1,1.0,0.6931471805599453,11.726027397260275,0.0,0.6,0.0,0.3,2.2304501616496784,0,0
-KWel73upKHxstRCr9JGLw,96,4.574710978503383,3.3229166666666665,1.293667098369402,0.4583333333333333,0.23958333333333334,3.0,1.3862943611198906,14.994520547945205,0.020833333333333332,0.4791666666666667,0.0,0.3541666666666667,2.407714145485701,3,1
-KncfNxXHo2DA46fR39K5w,10,2.3978952727983707,3.1,1.5238839267549946,0.5,0.4,1.0,0.6931471805599453,12.715068493150685,0.0,0.3,0.0,0.0,1.1310503236469271,0,1
-KoF5X8toS6VBY3DvNeuDA,16,2.833213344056216,3.5625,1.547847968417226,0.5625,0.3125,,,9.728767123287671,0.0625,0.1875,0.0,0.0,0.5618480628004394,0,1
-LmhsdQproqCf5EQoD06rQ,10,2.3978952727983707,4.4,0.6992058987801012,0.9,0.0,,,3.197260273972603,0.0,0.5,0.0,0.3,1.7713784577777207,0,0
-LpG-lx52Mjp7jyJ8YZHZQ,8,2.1972245773362196,3.125,1.6420805617960927,0.5,0.375,,,11.172602739726027,0.0,0.5,0.0,0.25,2.2073064922458694,0,1
-MkngKKkTIVfnUbq2S1ucQ,47,3.871201010907891,4.425531914893617,0.9027658190025234,0.8723404255319149,0.0425531914893617,,,7.2,0.0,0.23404255319148937,0.0,0.10638297872340426,0.8579950885754599,0,0
-NG3pA9LEXCxt0Fjd_aYYA,45,3.828641396489095,4.622222222222222,0.9837056306013335,0.9111111111111111,0.06666666666666667,,,6.8191780821917805,0.022222222222222223,0.15555555555555556,0.0,0.06666666666666667,0.9306550690060189,0,1
-OIUunijjcq_ZzyyQhPPFQ,526,6.267200548541362,4.262357414448669,0.9892707047364151,0.8479087452471483,0.0741444866920152,7.0,2.0794415416798357,14.287671232876713,0.039923954372623575,0.3840304182509506,0.0,0.19391634980988592,1.5638756617446492,3,1
-Om8XgP9GZ4UUFbgTRI4YQ,157,5.062595033026967,4.146496815286624,1.3146866967329953,0.7770700636942676,0.15286624203821655,4.0,1.6094379124341003,6.104109589041096,0.10191082802547771,0.2929936305732484,0.0,0.16560509554140126,1.396473490530836,3,1
-Or44IdY51Ukd618kikmtA,327,5.793013608384144,4.107033639143731,1.1066638954048085,0.764525993883792,0.11314984709480122,20.0,3.044522437723423,7.63013698630137,0.027522935779816515,0.4709480122324159,0.0,0.22935779816513763,1.8426630693232353,6,1
-PMXnNJ1D67NkAupRHNkpQ,26,3.295836866004329,1.6923076923076923,1.3789628209413267,0.19230769230769232,0.8076923076923077,1.0,0.6931471805599453,9.923287671232877,0.0,0.038461538461538464,0.0,0.038461538461538464,0.5717453435151328,0,1
-PqeUUIN8Qgqhv5KMiRfHA,31,3.4657359027997265,4.32258064516129,0.9447079539622655,0.9032258064516129,0.06451612903225806,3.0,1.3862943611198906,8.767123287671232,0.03225806451612903,0.16129032258064516,0.0,0.06451612903225806,0.9548177135638894,9,1
-RJfiKv_UsYol83dkfqpHQ,6,1.9459101490553132,3.6666666666666665,1.632993161855452,0.5,0.16666666666666666,,,7.8931506849315065,0.0,0.16666666666666666,0.0,0.16666666666666666,1.5693557141592134,0,1
-RckAAIJ-_KH0AzqrekYuw,113,4.736198448394496,4.212389380530974,1.2638611999517047,0.7787610619469026,0.12389380530973451,9.0,2.302585092994046,3.852054794520548,0.07079646017699115,0.2743362831858407,0.0,0.09734513274336283,0.9658418388152907,9,1
-RpUSbVtSGO9LZwMzGogww,46,3.8501476017100584,3.0652173913043477,1.6248374128993608,0.4782608695652174,0.41304347826086957,1.0,0.6931471805599453,0.8027397260273973,0.2391304347826087,0.17391304347826086,0.0,0.06521739130434782,0.7119892131800039,6,1
-SkwJp45TBbqxYzuYHcerA,8,2.1972245773362196,4.5,0.7559289460184544,0.875,0.0,,,1.2904109589041095,0.25,0.75,0.0,0.5,2.9922144027711846,0,1
-TW-0EqgnzUNHzV9VPSLoQ,16,2.833213344056216,4.25,1.1254628677422756,0.8125,0.0625,,,0.29041095890410956,1.0,0.3125,0.0,0.0,0.9018514155021213,0,1
-T_lkOvaK39R-Ufg6VUyxg,318,5.765191102784844,4.361635220125786,0.8726694057616986,0.8710691823899371,0.03459119496855346,13.0,2.6390573296152584,9.389041095890411,0.0031446540880503146,0.5251572327044025,0.0,0.29245283018867924,2.0979557321002824,0,0
-Ti5pwj6mA99khsxxur8aQ,147,4.997212273764115,4.510204081632653,0.8941771065015283,0.891156462585034,0.04081632653061224,4.0,1.6094379124341003,2.673972602739726,0.17687074829931973,0.3469387755102041,0.0,0.10884353741496598,0.9826105402386067,1,1
-UJ7ZTb3zfmqZogmy3fnGg,325,5.786897381366708,3.0123076923076924,1.5355366308035152,0.4461538461538462,0.4,8.0,2.1972245773362196,15.273972602739725,0.043076923076923075,0.19692307692307692,0.0,0.10153846153846154,0.9672576377128819,0,1
-UgmhgFa6biagbAXEPpNhA,22,3.1354942159291497,2.4545454545454546,1.143398140351517,0.13636363636363635,0.45454545454545453,,,14.389041095890411,0.0,0.5909090909090909,0.0,0.5,2.9580368028393376,0,0
-V0vIgo6196MDn_x3ZaYmA,149,5.0106352940962555,3.2684563758389262,1.3488276815954396,0.5033557046979866,0.3288590604026846,,,16.06027397260274,0.0,0.33557046979865773,0.0,0.2348993288590604,1.8134554436221861,9,0
-VEGatH4Ea3anbCS4wjgIQ,106,4.672828834461906,3.3679245283018866,1.3823752622491285,0.5566037735849056,0.22641509433962265,,,8.263013698630138,0.03773584905660377,0.3584905660377358,0.0,0.1792452830188679,1.543836204172815,9,1
-VH4B5o1sjZueC6go9FB1g,13,2.6390573296152584,2.3846153846153846,1.386750490563073,0.15384615384615385,0.6153846153846154,,,7.86027397260274,0.0,0.3076923076923077,0.0,0.23076923076923078,1.4381332303745062,0,1
